amount,failure_type,payment_method,customer_history,retry_number,time_since_failure_hours,card_issuer,is_recoverable
18789.55,soft_decline,upi,medium,1,53,None,0
47540.64,soft_decline,card,medium,1,66,ICICI,1
36626.5,soft_decline,card,bad,3,20,SBI,0
29973.06,timeout,upi,good,1,4,None,0
7885.33,hard_decline,card,medium,3,57,HDFC,0
7884.13,timeout,upi,bad,2,3,None,1
2998.37,soft_decline,netbanking,bad,3,18,None,1
43322.19,timeout,card,medium,2,54,ICICI,1
30095.64,timeout,upi,medium,2,60,None,1
35432.82,timeout,card,medium,2,71,ICICI,1
1127.17,timeout,card,medium,1,23,Axis,1
48498.5,timeout,card,bad,1,67,SBI,0
41638.89,duplicate,card,bad,3,18,HDFC,0
10695.72,soft_decline,card,bad,2,23,None,0
9173.07,hard_decline,card,medium,3,53,SBI,0
9251.89,soft_decline,netbanking,bad,2,20,SBI,0
15281.69,soft_decline,upi,good,2,71,None,0
26285.35,soft_decline,netbanking,good,3,18,ICICI,0
21654.06,soft_decline,upi,medium,3,52,Axis,1
14632.33,soft_decline,card,good,3,49,None,0
30631.46,soft_decline,card,bad,3,22,ICICI,0
7060.74,soft_decline,card,medium,1,36,None,1
14678.02,duplicate,card,medium,2,27,SBI,0
18381.46,soft_decline,upi,medium,2,70,HDFC,0
22857.89,timeout,upi,bad,1,20,HDFC,1
39280.28,soft_decline,card,medium,2,20,None,1
10063.72,duplicate,card,good,1,40,ICICI,0
25760.3,timeout,card,bad,2,34,None,1
29661.49,timeout,card,medium,1,0,HDFC,0
2417.88,timeout,card,good,1,66,Axis,1
30416.49,soft_decline,upi,medium,2,69,HDFC,1
8609.15,duplicate,card,good,2,3,None,0
3346.07,timeout,upi,bad,2,0,None,0
47449.39,timeout,card,medium,3,20,None,0
48285.04,timeout,card,bad,2,51,Axis,0
40439.03,soft_decline,netbanking,medium,2,52,HDFC,1
15300.23,timeout,upi,bad,2,55,None,1
4973.84,soft_decline,card,good,3,65,ICICI,0
34243.23,hard_decline,netbanking,good,2,66,None,0
22063.61,soft_decline,card,good,1,32,None,0
6189.71,duplicate,card,medium,1,22,HDFC,0
24809.33,soft_decline,upi,good,3,5,HDFC,1
1815.99,soft_decline,upi,medium,3,46,None,1
45475.09,hard_decline,card,medium,3,57,None,0
13013.12,timeout,card,medium,3,4,Axis,0
33159.86,timeout,netbanking,medium,3,8,None,0
15654.38,soft_decline,card,good,2,2,None,0
26051.39,soft_decline,card,bad,1,60,Axis,0
27380.84,timeout,upi,medium,1,63,Axis,1
9324.24,duplicate,netbanking,bad,2,45,Axis,0
48482.27,timeout,card,medium,3,55,HDFC,0
38779.13,hard_decline,upi,bad,2,38,SBI,0
46981.0,duplicate,upi,medium,3,12,Axis,0
44751.88,hard_decline,card,bad,1,40,Axis,0
29935.21,hard_decline,upi,good,1,10,ICICI,0
46101.52,hard_decline,netbanking,bad,3,40,None,0
